id,generacion,nse,region,educacion_financiera,sesgo_presente,canal_preferido,situacion_laboral,cobertura_previsional,tenencia_vehiculo,acceso_digital,bancarizado,trabajo_plataforma_digital,exposicion_riesgo_sismico,apertura_datos_ia,confianza_aseguradora,disposicion_compartir_datos_pricing,tenencia_seguro,seguro_desastres_naturales,wtp_ratio,propension_microseguro,edad,usa_whatsapp,resp_seguro_privado,resp_aseguradora,resp_para_quien,resp_como_resolvio,resp_por_que,resp_fuente_medicamento,resp_marca_generico,resp_no_mejora,resp_solucion_ideal
P_000,Gen_X_44_59,B,Lima_Metropolitana,baja,medio,broker_corredor,formal_dependiente,AFP,ninguno,alta,True,False,media,alta,desconfia,baja,voluntario,False,1.058,media,49,True,si,RIMAC,tambien_hijos_y_mayores,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,voy_al_medico_o_clinica,que_me_confirme_un_profesional
P_001,Millennial_28_43,B,Lima_Metropolitana,media,medio,broker_corredor,informal,ninguna,auto,alta,True,False,alta,media,confia_plena,media,voluntario,True,1.029,alta,37,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_002,Boomer_60_mas,C,Resto_Costa,media,bajo,directo_digital,independiente_microemprendedor,ninguna,auto,media,True,False,alta,baja,neutral,baja,voluntario,False,1.052,alta,62,True,no,,tambien_mi_pareja_o_yo,farmacia_sin_receta,falta_tiempo,lo_pedi_por_nombre,marca,teleconsulta_si_esta_incluida,prefiero_atencion_presencial
P_003,Boomer_60_mas,C,Resto_Costa,baja,bajo,broker_corredor,independiente_microemprendedor,AFP,moto_mototaxi,media,True,False,alta,baja,neutral,alta,voluntario,False,0.708,alta,62,True,si,Mapfre,tambien_mi_pareja_o_yo,farmacia_sin_receta,falta_tiempo,consejo_tecnico_farmacia,marca,vuelvo_a_la_farmacia,prefiero_atencion_presencial
P_004,Millennial_28_43,C,Lima_Metropolitana,baja,medio,bancaseguros,formal_dependiente,AFP,ninguno,alta,True,False,alta,media,desconfia,baja,solo_obligatorio,False,1.356,alta,43,True,no,,tambien_hijos,farmacia_sin_receta,falta_tiempo,consejo_tecnico_farmacia,marca,espero_un_poco_mas,que_me_confirme_un_profesional
P_005,Gen_X_44_59,C,Resto_Costa,alta,alto,broker_corredor,informal,ninguna,ninguno,media,True,False,alta,alta,desconfia,media,ninguno,False,0.951,alta,47,True,no,,solo_para_mi,botiquin_casero,costo,consejo_familiar,indistinto,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_006,Gen_Z_18_27,C,Selva,media,medio,broker_corredor,independiente_microemprendedor,ninguna,ninguno,media,False,True,alta,media,desconfia,baja,ninguno,False,0.936,alta,21,True,no,,solo_para_mi,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,espero_un_poco_mas,que_me_confirme_un_profesional
P_007,Gen_X_44_59,C,Lima_Metropolitana,media,alto,directo_digital,independiente_microemprendedor,ninguna,moto_mototaxi,alta,True,False,alta,media,neutral,alta,ninguno,False,0.919,alta,48,True,no,,solo_para_mi,botiquin_casero,costo,receta_previa_guardada,indistinto,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_008,Boomer_60_mas,C,Lima_Metropolitana,baja,medio,directo_digital,independiente_microemprendedor,ninguna,ninguno,media,True,True,alta,media,confia_plena,media,ninguno,False,0.639,alta,65,True,no,,tambien_mi_pareja_o_yo,botiquin_casero,desconfianza_medico,consejo_familiar,marca,teleconsulta_si_esta_incluida,digital_pero_con_humano_disponible
P_009,Boomer_60_mas,C,Lima_Metropolitana,alta,medio,broker_corredor,independiente_microemprendedor,ninguna,ninguno,media,True,False,alta,baja,confia_plena,baja,solo_obligatorio,False,1.12,alta,65,True,no,,tambien_mi_pareja_o_yo,consulta_medica_formal,era_serio_o_tengo_cobertura,receta_del_medico,marca,teleconsulta_si_esta_incluida,prefiero_atencion_presencial
P_010,Gen_Z_18_27,C,Lima_Metropolitana,media,medio,directo_digital,formal_dependiente,ONP,auto,alta,True,False,alta,media,confia_plena,alta,solo_obligatorio,False,1.244,alta,21,True,no,,solo_para_mi,farmacia_sin_receta,falta_tiempo,consejo_tecnico_farmacia,generico,vuelvo_a_la_farmacia,rapida_y_digital_sin_hablar_con_nadie
P_011,Boomer_60_mas,C,Lima_Metropolitana,media,alto,broker_corredor,formal_dependiente,ninguna,ninguno,media,True,False,alta,media,confia_plena,baja,solo_obligatorio,False,1.083,media,60,True,no,,tambien_mi_pareja_o_yo,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,teleconsulta_si_esta_incluida,que_me_confirme_un_profesional
P_012,Millennial_28_43,B,Lima_Metropolitana,baja,bajo,directo_digital,independiente_microemprendedor,ninguna,auto,alta,True,True,alta,alta,desconfia,media,voluntario,True,1.121,alta,37,True,si,Pacífico,tambien_hijos,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,teleconsulta_si_esta_incluida,digital_pero_con_humano_disponible
P_013,Gen_X_44_59,B,Sierra,media,medio,directo_digital,formal_dependiente,ONP,ninguno,media,False,False,alta,media,desconfia,baja,solo_obligatorio,False,0.825,media,58,True,no,,tambien_hijos_y_mayores,consulta_remota_o_conocido,costo,consejo_familiar,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_014,Boomer_60_mas,C,Lima_Metropolitana,media,medio,broker_corredor,independiente_microemprendedor,ninguna,moto_mototaxi,media,True,False,alta,alta,desconfia,baja,ninguno,False,0.526,alta,60,True,no,,tambien_mi_pareja_o_yo,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,espero_un_poco_mas,que_me_confirme_un_profesional
P_015,Gen_X_44_59,B,Selva,alta,alto,ninguno,formal_dependiente,ninguna,moto_mototaxi,media,True,False,baja,media,desconfia,baja,voluntario,False,1.03,baja,45,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_016,Boomer_60_mas,C,Sierra,baja,alto,directo_digital,informal,ONP,ninguno,baja,False,False,media,baja,neutral,alta,ninguno,False,0.674,media,62,True,no,,tambien_mi_pareja_o_yo,botiquin_casero,sistema_lento,consejo_familiar,marca,vuelvo_a_la_farmacia,prefiero_atencion_presencial
P_017,Boomer_60_mas,C,Resto_Costa,baja,alto,ninguno,formal_dependiente,ONP,moto_mototaxi,media,True,False,media,baja,neutral,baja,ninguno,False,0.382,media,64,True,no,,solo_para_mi,botiquin_casero,sistema_lento,receta_previa_guardada,generico,vuelvo_a_la_farmacia,prefiero_atencion_presencial
P_018,Millennial_28_43,C,Selva,baja,medio,directo_digital,independiente_microemprendedor,ninguna,moto_mototaxi,media,False,False,baja,alta,neutral,alta,ninguno,False,0.476,alta,36,True,no,,tambien_hijos,botiquin_casero,falta_tiempo,consejo_familiar,marca,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_019,Boomer_60_mas,B,Sierra,media,bajo,bancaseguros,formal_dependiente,ONP,ninguno,media,True,False,alta,alta,neutral,alta,voluntario,True,1.064,media,64,True,no,,solo_para_mi,farmacia_sin_receta,falta_tiempo,lo_pedi_por_nombre,indistinto,teleconsulta_si_esta_incluida,digital_pero_con_humano_disponible
P_020,Boomer_60_mas,C,Sierra,media,medio,directo_digital,independiente_microemprendedor,ninguna,ninguno,baja,False,False,baja,baja,desconfia,baja,ninguno,False,0.651,media,63,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_021,Gen_X_44_59,B,Resto_Costa,alta,alto,broker_corredor,formal_dependiente,ninguna,ninguno,alta,True,False,media,media,confia_plena,media,voluntario,True,1.154,media,48,True,si,La Positiva,tambien_hijos_y_mayores,consulta_medica_formal,era_serio_o_tengo_cobertura,receta_del_medico,marca,voy_al_medico_o_clinica,digital_pero_con_humano_disponible
P_022,Gen_X_44_59,C,Lima_Metropolitana,alta,alto,broker_corredor,informal,ninguna,auto,alta,True,False,alta,alta,desconfia,media,solo_obligatorio,False,1.169,alta,45,True,no,,tambien_hijos_y_mayores,farmacia_sin_receta,sistema_lento,lo_pedi_por_nombre,marca,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_023,Gen_X_44_59,C,Lima_Metropolitana,baja,bajo,bancaseguros,independiente_microemprendedor,AFP,auto,alta,True,False,alta,alta,desconfia,media,ninguno,False,0.773,alta,46,True,no,,tambien_hijos_y_mayores,farmacia_sin_receta,era_leve,consejo_tecnico_farmacia,marca,espero_un_poco_mas,digital_pero_con_humano_disponible
P_024,Millennial_28_43,B,Resto_Costa,baja,alto,bancaseguros,independiente_microemprendedor,ninguna,ninguno,alta,True,False,alta,media,desconfia,media,voluntario,False,0.712,media,41,True,si,Sanitas,tambien_hijos,farmacia_sin_receta,desconfianza_medico,consejo_tecnico_farmacia,marca,vuelvo_a_la_farmacia,digital_pero_con_humano_disponible
P_025,Boomer_60_mas,C,Selva,baja,alto,bancaseguros,independiente_microemprendedor,ninguna,ninguno,baja,True,False,media,baja,desconfia,baja,ninguno,False,0.864,media,63,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_026,Gen_Z_18_27,C,Lima_Metropolitana,baja,alto,bancaseguros,formal_dependiente,AFP,auto,alta,True,False,alta,media,neutral,baja,ninguno,False,0.574,media,23,True,no,,solo_para_mi,botiquin_casero,era_leve,receta_previa_guardada,marca,espero_un_poco_mas,rapida_y_digital_sin_hablar_con_nadie
P_027,Gen_X_44_59,B,Resto_Costa,media,alto,directo_digital,informal,ninguna,ninguno,alta,True,False,media,baja,desconfia,baja,ninguno,False,0.611,media,59,True,no,,solo_para_mi,botiquin_casero,sistema_lento,receta_previa_guardada,indistinto,espero_un_poco_mas,prefiero_atencion_presencial
P_028,Millennial_28_43,C,Resto_Costa,baja,alto,directo_digital,informal,ninguna,ninguno,alta,True,False,alta,alta,desconfia,baja,ninguno,False,0.384,alta,28,True,no,,tambien_hijos,farmacia_sin_receta,sistema_lento,consejo_tecnico_farmacia,marca,espero_un_poco_mas,digital_pero_con_humano_disponible
P_029,Gen_X_44_59,C,Sierra,media,alto,ninguno,independiente_microemprendedor,AFP,moto_mototaxi,media,True,False,media,baja,desconfia,baja,voluntario,False,1.052,media,47,True,no,,solo_para_mi,botiquin_casero,sistema_lento,receta_previa_guardada,generico,espero_un_poco_mas,prefiero_atencion_presencial
P_030,Gen_X_44_59,B,Sierra,baja,bajo,bancaseguros,informal,ninguna,ninguno,media,True,False,alta,media,confia_plena,baja,solo_obligatorio,False,1.485,alta,55,True,no,,tambien_hijos_y_mayores,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_031,Boomer_60_mas,B,Resto_Costa,baja,bajo,bancaseguros,formal_dependiente,ninguna,moto_mototaxi,media,True,False,alta,alta,confia_plena,alta,ninguno,False,0.402,media,62,True,no,,solo_para_mi,botiquin_casero,falta_tiempo,consejo_familiar,indistinto,teleconsulta_si_esta_incluida,digital_pero_con_humano_disponible
P_032,Boomer_60_mas,B,Resto_Costa,alta,bajo,bancaseguros,informal,ninguna,moto_mototaxi,media,True,False,alta,alta,desconfia,media,ninguno,False,0.744,alta,65,True,no,,tambien_mi_pareja_o_yo,farmacia_sin_receta,falta_tiempo,consejo_tecnico_farmacia,marca,espero_un_poco_mas,que_me_confirme_un_profesional
P_033,Boomer_60_mas,C,Sierra,media,medio,broker_corredor,formal_dependiente,AFP,auto,baja,False,False,media,baja,confia_plena,baja,solo_obligatorio,False,0.926,media,63,True,no,,solo_para_mi,botiquin_casero,falta_tiempo,receta_previa_guardada,generico,vuelvo_a_la_farmacia,prefiero_atencion_presencial
P_034,Gen_X_44_59,C,Resto_Costa,baja,alto,directo_digital,informal,ninguna,ninguno,media,False,False,media,alta,desconfia,media,ninguno,False,1.097,alta,48,True,no,,tambien_hijos_y_mayores,botiquin_casero,falta_tiempo,consejo_familiar,marca,espero_un_poco_mas,que_me_confirme_un_profesional
P_035,Gen_X_44_59,C,Sierra,baja,bajo,broker_corredor,informal,ninguna,moto_mototaxi,media,True,False,alta,media,neutral,baja,ninguno,False,0.726,alta,44,True,no,,tambien_hijos_y_mayores,botiquin_casero,era_leve,consejo_familiar,marca,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_036,Gen_X_44_59,C,Lima_Metropolitana,baja,medio,broker_corredor,informal,ninguna,auto,alta,True,False,alta,media,neutral,media,voluntario,False,0.877,alta,45,True,no,,tambien_hijos_y_mayores,botiquin_casero,falta_tiempo,consejo_familiar,marca,voy_al_medico_o_clinica,digital_pero_con_humano_disponible
P_037,Gen_X_44_59,C,Selva,baja,medio,bancaseguros,informal,ninguna,ninguno,baja,False,False,baja,baja,desconfia,baja,ninguno,False,0.529,media,53,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_038,Gen_X_44_59,C,Sierra,baja,medio,bancaseguros,formal_dependiente,AFP,moto_mototaxi,media,True,False,media,alta,neutral,media,solo_obligatorio,False,1.517,media,59,True,no,,tambien_hijos_y_mayores,consulta_remota_o_conocido,sistema_lento,consejo_familiar,marca,espero_un_poco_mas,digital_pero_con_humano_disponible
P_039,Gen_X_44_59,C,Lima_Metropolitana,baja,medio,bancaseguros,independiente_microemprendedor,ninguna,auto,alta,True,False,alta,media,neutral,baja,solo_obligatorio,False,1.277,alta,45,True,no,,solo_para_mi,botiquin_casero,sistema_lento,receta_previa_guardada,indistinto,vuelvo_a_la_farmacia,que_me_confirme_un_profesional
P_040,Millennial_28_43,B,Resto_Costa,media,medio,directo_digital,formal_dependiente,AFP,ninguno,alta,True,False,media,baja,neutral,baja,solo_obligatorio,False,1.219,media,30,True,no,,solo_para_mi,consulta_remota_o_conocido,falta_tiempo,consejo_familiar,generico,teleconsulta_si_esta_incluida,que_me_confirme_un_profesional
P_041,Millennial_28_43,C,Resto_Costa,media,medio,directo_digital,formal_dependiente,ONP,auto,alta,True,False,alta,alta,desconfia,media,solo_obligatorio,False,0.953,alta,31,True,no,,solo_para_mi,farmacia_sin_receta,falta_tiempo,lo_pedi_por_nombre,generico,vuelvo_a_la_farmacia,rapida_y_digital_sin_hablar_con_nadie
P_042,Boomer_60_mas,C,Lima_Metropolitana,media,alto,broker_corredor,formal_dependiente,AFP,ninguno,media,True,False,media,media,desconfia,baja,solo_obligatorio,False,0.746,media,62,True,no,,solo_para_mi,farmacia_sin_receta,desconfianza_medico,lo_pedi_por_nombre,indistinto,espero_un_poco_mas,que_me_confirme_un_profesional
P_043,Millennial_28_43,C,Resto_Costa,media,medio,directo_digital,formal_dependiente,AFP,auto,alta,True,False,alta,media,neutral,media,voluntario,False,0.889,alta,35,True,no,,tambien_hijos,consulta_remota_o_conocido,era_leve,consejo_familiar,marca,teleconsulta_si_esta_incluida,rapida_y_digital_sin_hablar_con_nadie
P_044,Boomer_60_mas,C,Resto_Costa,baja,alto,bancaseguros,informal,ninguna,moto_mototaxi,media,False,False,alta,alta,desconfia,baja,ninguno,False,0.632,alta,64,True,no,,tambien_mi_pareja_o_yo,botiquin_casero,sistema_lento,receta_previa_guardada,marca,espero_un_poco_mas,prefiero_atencion_presencial
P_045,Gen_X_44_59,C,Resto_Costa,alta,alto,broker_corredor,informal,ninguna,moto_mototaxi,media,True,False,alta,baja,neutral,media,ninguno,False,1.08,alta,45,True,no,,solo_para_mi,botiquin_casero,sistema_lento,consejo_familiar,indistinto,vuelvo_a_la_farmacia,prefiero_atencion_presencial
P_046,Gen_Z_18_27,A,Lima_Metropolitana,media,alto,directo_digital,formal_dependiente,ONP,moto_mototaxi,alta,True,False,alta,alta,desconfia,baja,voluntario,False,0.89,baja,26,True,si,Sanitas,solo_para_mi,consulta_medica_formal,era_serio_o_tengo_cobertura,receta_del_medico,generico,voy_al_medico_o_clinica,rapida_y_digital_sin_hablar_con_nadie
P_047,Gen_Z_18_27,B,Lima_Metropolitana,baja,medio,broker_corredor,formal_dependiente,AFP,auto,alta,False,False,alta,alta,confia_plena,baja,solo_obligatorio,False,1.013,media,19,True,no,,solo_para_mi,consulta_remota_o_conocido,falta_tiempo,consejo_familiar,marca,voy_al_medico_o_clinica,rapida_y_digital_sin_hablar_con_nadie
P_048,Gen_X_44_59,B,Sierra,media,alto,ninguno,informal,ninguna,moto_mototaxi,media,True,False,baja,baja,desconfia,baja,ninguno,False,0.406,media,49,False,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO,FUERA_DEL_ESTUDIO
P_049,Gen_X_44_59,B,Lima_Metropolitana,media,medio,broker_corredor,formal_dependiente,AFP,ninguno,alta,True,False,alta,alta,desconfia,baja,voluntario,True,0.807,media,55,True,no,,tambien_hijos_y_mayores,consulta_remota_o_conocido,era_leve,consejo_familiar,marca,voy_al_medico_o_clinica,digital_pero_con_humano_disponible
P_050,Boomer_60_mas,C,Sierra,baja,alto,directo_digital,informal,ninguna,ninguno,baja,True,False,media,media,neutral,media,ninguno,False,0.455,media,62,True,no,,solo_para_mi,botiquin_casero,sistema_lento,consejo_familiar,indistinto,vuelvo_a_la_farmacia,prefiero_atencion_presencial
