timestamp,autor,clave,campo,antes,despues,tipo,estado
2026-07-12T23:09:34,Alejandro,ANS-BD,Excel ANS Behavioral Design,1 hoja de tallas + soporte; feedback plano por talla L; factor 0.67 supuesto,feedback escala por talla; factor 0.72 calibrado con retro; nueva hoja Ejemplos de Tallaje (2da pestaña) con casos reales del tablero,normal,aplicado
2026-07-13T02:42:18,Alejandro,Q-48,Nuevo quest,— (no existía),"Modelo predictivo de retención en seguros de salud (con Edu Rebata), EPIC-7 Renovación EPS, Alejandro 6 🪙, Backlog sin fechas",normal,aplicado
2026-07-13T03:59:52,Alejandro,ANS-BD,Hoja Ejemplos de Tallaje,ejemplo XL de Evidencia era hipotético (Ecosistema EPS futuro),"ejemplo L de Evidencia ahora cita Q-48 (modelo retención con Edu Rebata, real); Sistemas y frameworks y Consultoría suman el caso de alinear CX/mkt/guías/App",normal,aplicado
2026-07-13T19:35:05,Alejandro,ANS-BD,Nueva modalidad §3.7,solo entregable puntual (6 categorías) + soporte,"se suma Acompañamiento de proyecto embebido E2E: ANS de capacidad reservada (🪙/trimestre) para iniciativas de hasta 6 meses que acompañan desde exploración hasta diseño+delegación (ej. EPIC-1, EPIC-7)",normal,aplicado
2026-07-13T19:45:39,Alejandro,ANS-BD,§3.7 fases,capacidad reservada durante todo el acompañamiento (hasta 6 meses),"dos fases: capacidad reservada solo en exploración; en cuanto sale el roadmap, las soluciones BD vuelven al catálogo normal (3.1) y se tallan como cualquier entregable",normal,aplicado
2026-07-13T20:03:10,Alejandro,ANS-BD,Nomenclatura Excel,ejemplos citaban claves internas Q-n del tablero,"ejemplos describen el trabajo por nombre/contenido, sin códigos Q-n (el Excel es para uso externo/Milagros, no acoplado a la nomenclatura interna del Beholder)",normal,aplicado
2026-07-16T16:43:08,Melissa,ANS-BD,Orden de columnas hoja principal,Base(días) → Monedas(del base) → Feedback(días) → Total(días); monedas no reflejaban el feedback,"Base(días) → Feedback(días) → Total(días) → Monedas(del total, con fórmula); una sola pasada construyo→valido→total días→total monedas",normal,aplicado
2026-07-17T13:54:39,Alejandro,SIZING-BD,Nuevo archivo,— (no existía),"Sizing_Behavioral_Design.xlsx: mismo formato que el Sizing.xlsx de Service Design (ETAPA/SUB-ETAPA/MÍNIMO/MÁXIMO/CON IA), calibrado con esos rangos como referencia y ajustado con datos reales del tablero BD; TOTAL REFINADO 20-75 días efectivos",normal,aplicado
2026-07-17T15:19:59,Alejandro,SIZING-BD,Hoja Resumen S-M-L-XL,— (no existía),"nueva hoja con la talla final por etapa (Refinamiento 4/6/8/12, Investigación 6/11/16/33, Definición 4/6/8/12, Diseño 6/9/14/24, Pruebas 2/4/6/18, Acompañamiento 5/6/8/21; TOTAL 27/42/60/120; equivalencia 1.4/2.1/3/6 meses)",normal,aplicado
2026-07-17T15:31:31,Alejandro,ANS-SIZING-BD,Nuevo archivo + corrección,Resumen S-M-L-XL tenía los números de Service Design copiados por error,"ANS_Sizing_Behavioral_Design.xlsx: modelo completo adaptado de ANS_Sizing_SD.xlsx (parámetro de asignación en vivo, feedback+VB, ANS épica, sprints/meses, hoja Entregables, hoja v1 sin curar); Resumen S-M-L-XL corregido con números propios de BD (TOTAL 22/36/53/77, 1.1-3.9 meses)",normal,aplicado
